round,region,matchup_id,team_picked,seed,vegas_win_prob,public_pick_pct,leverage_ratio,confidence_tier,confidence_type,deviation_from_chalk,deviation_threshold_applied,path_assumption
R64,East,E_R64_1,Duke,1,0.9728,0.9800,0.9927,HIGH,NA,N,N/A,NA
R64,East,E_R64_2,Ohio State,8,0.5635,0.5900,0.9551,MEDIUM,NA,N,N/A,NA
R64,East,E_R64_3,St John's,5,0.8250,0.8800,0.9375,LOW,A,N,N/A,NA
R64,East,E_R64_4,Kansas,4,0.8870,0.9300,0.9538,MEDIUM,NA,N,N/A,NA
R64,East,E_R64_5,Louisville,6,0.6636,0.6200,1.0703,HIGH,NA,N,N/A,NA
R64,East,E_R64_6,Michigan St,3,0.9124,0.9500,0.9604,HIGH,NA,N,N/A,primary
R64,East,E_R64_7,UCLA,7,0.6854,0.6600,1.0385,HIGH,NA,N,N/A,NA
R64,East,E_R64_8,UConn,2,0.9463,0.9600,0.9857,HIGH,NA,N,N/A,primary
R64,Midwest,MW_R64_1,Michigan,1,0.9761,0.9800,0.9960,HIGH,NA,N,N/A,primary
R64,Midwest,MW_R64_2,Georgia,8,0.5721,0.5600,1.0216,MEDIUM,NA,N,N/A,NA
R64,Midwest,MW_R64_3,Texas Tech,5,0.7409,0.7700,0.9622,MEDIUM,NA,N,N/A,NA
R64,Midwest,MW_R64_4,Alabama,4,0.8525,0.8900,0.9579,HIGH,NA,N,N/A,NA
R64,Midwest,MW_R64_5,Tennessee,6,0.7258,0.8300,0.8745,MEDIUM,NA,N,N/A,primary
R64,Midwest,MW_R64_6,Virginia,3,0.9311,0.9500,0.9801,HIGH,NA,N,N/A,primary
R64,Midwest,MW_R64_7,Kentucky,7,0.5934,0.6900,0.8600,HIGH,NA,N,N/A,NA
R64,Midwest,MW_R64_8,Iowa State,2,0.9578,0.9600,0.9977,HIGH,NA,N,N/A,primary
R64,South,S_R64_1,Florida,1,0.9537,0.9800,0.9732,HIGH,NA,N,N/A,NA
R64,South,S_R64_2,Clemson,8,0.4486,0.4200,1.0681,HIGH,NA,N,N/A,NA
R64,South,S_R64_3,Vanderbilt,5,0.8400,0.8300,1.0120,LOW,A,N,N/A,NA
R64,South,S_R64_4,Nebraska,4,0.8721,0.8700,1.0024,HIGH,NA,N,N/A,NA
R64,South,S_R64_5,VCU,11,0.4365,0.3200,1.3641,HIGH,NA,Y,1.15,NA
R64,South,S_R64_6,Illinois,3,0.9539,0.9200,1.0368,MEDIUM,NA,N,N/A,primary
R64,South,S_R64_7,Saint Mary's,7,0.5934,0.5400,1.0989,HIGH,NA,N,N/A,NA
R64,South,S_R64_8,Houston,2,0.9578,0.9700,0.9874,HIGH,NA,N,N/A,primary
R64,West,W_R64_1,Arizona,1,0.9808,0.9700,1.0111,HIGH,NA,N,N/A,NA
R64,West,W_R64_2,Villanova,8,0.4675,0.5100,0.9167,HIGH,NA,N,N/A,NA
R64,West,W_R64_3,Wisconsin,5,0.8000,0.8300,0.9639,LOW,A,N,N/A,NA
R64,West,W_R64_4,Arkansas,4,0.8989,0.9200,0.9771,MEDIUM,NA,N,N/A,NA
R64,West,W_R64_5,Texas,11,0.4279,0.2200,1.9450,HIGH,NA,Y,1.15,NA
R64,West,W_R64_6,Gonzaga,3,0.9357,0.9500,0.9849,HIGH,NA,N,N/A,primary
R64,West,W_R64_7,Miami,7,0.5427,0.6100,0.8897,HIGH,NA,N,N/A,NA
R64,West,W_R64_8,Purdue,2,0.9578,0.9600,0.9977,HIGH,NA,N,N/A,primary
R32,East,E_R32_1,Duke,1,0.7967,0.9600,0.8299,HIGH,NA,N,N/A,NA
R32,East,E_R32_2,Kansas,4,0.4131,0.4700,0.8789,HIGH,NA,N,N/A,NA
R32,East,E_R32_3,Louisville,6,0.3718,0.1900,1.9570,HIGH,NA,Y,1.15,NA
R32,East,E_R32_4,UConn,2,0.6197,0.8300,0.7467,HIGH,NA,N,N/A,primary
R32,Midwest,MW_R32_1,Michigan,1,0.8105,0.9600,0.8443,HIGH,NA,N,N/A,primary
R32,Midwest,MW_R32_2,Alabama,4,0.4913,0.5500,0.8932,HIGH,NA,N,N/A,NA
R32,Midwest,MW_R32_3,Virginia,3,0.5004,0.6800,0.7358,HIGH,NA,N,N/A,primary
