team_name,team_seed,region,r6,r6_low,r6_high,r6_path_alt,r6_path_low,r6_path_high,public_pct,public_pct_display,ownership_tier,conf_tier_r6,conf_type,floor_applied,path_dependent,data_source,ev_10,ev_low_10,ev_high_10,ev_path_alt_10,ev_25,ev_low_25,ev_high_25,ev_path_alt_25,ev_50,ev_low_50,ev_high_50,ev_path_alt_50,ev_100,ev_low_100,ev_high_100,ev_path_alt_100,ev_250,ev_low_250,ev_high_250,ev_path_alt_250,ev_500,ev_low_500,ev_high_500,ev_path_alt_500,ev_1000,ev_low_1000,ev_high_1000,ev_path_alt_1000,ev_5000,ev_low_5000,ev_high_5000,ev_path_alt_5000
Michigan,1,Midwest,0.169697,0.1405,0.1989,0.2105233921767531,0.169697,0.2105233921767531,0.13699999999999998,13.7,HIGH,HIGH,C,N,Y,CBS Sports bracket data,1.464485,1.212515,1.716507,1.816817,3.661213,3.031288,4.291268,4.542042,7.322426,6.062575,8.582535,9.084084,14.644851,12.125150,17.165070,18.168169,36.612128,30.312875,42.912675,45.420422,73.224255,60.625750,85.825350,90.840844,146.448511,121.251500,171.650700,181.681687,732.242555,606.257500,858.253500,908.408437
Arizona,1,West,0.17057,0.1414,0.1997,0.17057,0.17057,0.17057,0.21899999999999997,21.9,HIGH,HIGH,B,N,N,CBS Sports bracket data,1.332152,1.104334,1.559657,1.332152,3.330379,2.760835,3.899142,3.330379,6.660758,5.521670,7.798285,6.660758,13.321517,11.043340,15.596570,13.321517,33.303793,27.608350,38.991425,33.303793,66.607585,55.216700,77.982850,66.607585,133.215170,110.433400,155.965700,133.215170,666.075850,552.167000,779.828500,666.075850
Duke,1,East,0.165853,0.1367,0.195,0.165853,0.165853,0.165853,0.292,29.2,HIGH,HIGH,B,N,N,CBS Sports bracket data,1.174239,0.967836,1.380600,1.174239,2.935598,2.419590,3.451500,2.935598,5.871196,4.839180,6.903000,5.871196,11.742392,9.678360,13.806000,11.742392,29.355981,24.195900,34.515000,29.355981,58.711962,48.391800,69.030000,58.711962,117.423924,96.783600,138.060000,117.423924,587.119620,483.918000,690.300000,587.119620
Florida,1,South,0.105528,0.0764,0.1347,0.105528,0.105528,0.105528,0.038260999999999996,3.8261,LOW_OWN,HIGH,B,N,N,odds-proportional estimate,1.014904,0.734769,1.295462,1.014904,2.537260,1.836921,3.238656,2.537260,5.074520,3.673843,6.477312,5.074520,10.149039,7.347686,12.954624,10.149039,25.372598,18.369215,32.386561,25.372598,50.745197,36.738430,64.773122,50.745197,101.490393,73.476860,129.546243,101.490393,507.451966,367.384298,647.731216,507.451966
Houston,2,South,0.069006,0.0553,0.0828,0.1057370622132136,0.069006,0.1057370622132136,0.028418000000000002,2.8418,LOW_OWN,HIGH,C,N,Y,odds-proportional estimate,0.670450,0.537285,0.804470,1.027322,1.676125,1.343212,2.011175,2.568306,3.352249,2.686424,4.022349,5.136611,6.704499,5.372848,8.044699,10.273223,16.761247,13.432121,20.111747,25.683057,33.522494,26.864242,40.223495,51.366113,67.044987,53.728485,80.446990,102.732226,335.224937,268.642423,402.234948,513.661132
Iowa State,2,Midwest,0.041946,0.0282,0.0557,0.07985427578769319,0.041946,0.07985427578769319,0.021788,2.1788,LOW_OWN,HIGH,C,N,Y,odds-proportional estimate,0.410321,0.275856,0.544864,0.781144,1.025802,0.689639,1.362160,1.952860,2.051604,1.379279,2.724320,3.905721,4.103208,2.758558,5.448641,7.811441,10.258020,6.896395,13.621602,19.528603,20.516040,13.792789,27.243204,39.057205,41.032081,27.585578,54.486408,78.114411,205.160403,137.927892,272.432042,390.572054
Illinois,3,South,0.039034,0.0267,0.0514,0.061730348684848405,0.039034,0.061730348684848405,0.019060999999999998,1.9061,LOW_OWN,HIGH,NA,N,Y,odds-proportional estimate,0.382900,0.261911,0.504203,0.605537,0.957249,0.654777,1.260507,1.513843,1.914499,1.309554,2.521013,3.027685,3.828997,2.619107,5.042026,6.055371,9.572493,6.547768,12.605066,15.138427,19.144986,13.095536,25.210132,30.276853,38.289973,26.191071,50.420265,60.553707,191.449865,130.955356,252.101323,302.768533
Purdue,2,West,0.031526,0.0178,0.0453,0.05918530559276221,0.031526,0.05918530559276221,0.017493,1.7493,LOW_OWN,HIGH,C,N,Y,odds-proportional estimate,0.309745,0.174886,0.445076,0.581500,0.774363,0.437216,1.112689,1.453749,1.548726,0.874431,2.225378,2.907499,3.097452,1.748862,4.450757,5.814998,7.743629,4.372156,11.126892,14.537494,15.487258,8.744312,22.253784,29.074989,30.974516,17.488625,44.507567,58.149977,154.872578,87.443123,222.537835,290.749885
UConn,2,East,0.029371,0.0156,0.0431,0.0570117166595886,0.029371,0.0570117166595886,0.017493,1.7493,LOW_OWN,HIGH,C,N,Y,odds-proportional estimate,0.288572,0.153271,0.423461,0.560144,0.721430,0.383178,1.058651,1.400360,1.442861,0.766355,2.117303,2.800721,2.885721,1.532711,4.234605,5.601441,7.214303,3.831777,10.586513,14.003603,14.428607,7.663555,21.173026,28.007205,28.857213,15.327109,42.346052,56.014411,144.286065,76.635546,211.730258,280.072054
Michigan St,3,East,0.013656,0.0013,0.026,0.026751432849503435,0.013656,0.026751432849503435,0.015467,1.5467,LOW_OWN,HIGH,NA,N,Y,odds-proportional estimate,0.134448,0.012799,0.255979,0.263377,0.336120,0.031997,0.639946,0.658442,0.672239,0.063995,1.279893,1.316883,1.344478,0.127989,2.559786,2.633767,3.361196,0.319973,6.399464,6.584417,6.722391,0.639946,12.798929,13.168834,13.444783,1.279893,25.597858,26.337668,67.223913,6.399464,127.989290,131.688342
Arkansas,4,West,0.013429,0.0046,0.0222,0.013429,0.013429,0.013429,0.007896,0.7896,NEAR_ZERO,HIGH,NA,N,N,odds-proportional estimate,0.133230,0.045637,0.220247,0.133230,0.333074,0.114092,0.550618,0.333074,0.666148,0.228184,1.101235,0.666148,1.332296,0.456368,2.202471,1.332296,3.330741,1.140920,5.506177,3.330741,6.661482,2.281839,11.012354,6.661482,13.322965,4.563678,22.024709,13.322965,66.614823,22.818392,110.123544,66.614823
Gonzaga,3,West,0.013429,0.0011,0.0258,0.0263903831715357,0.013429,0.0263903831715357,0.017493,1.7493,LOW_OWN,HIGH,NA,N,Y,odds-proportional estimate,0.131941,0.010808,0.253487,0.259287,0.329852,0.027019,0.633717,0.648218,0.659704,0.054038,1.267434,1.296437,1.319409,0.108076,2.534868,2.592874,3.298522,0.270189,6.337170,6.482184,6.597043,0.540379,12.674340,12.964368,13.194087,1.080758,25.348681,25.928736,65.970433,5.403789,126.743403,129.643681
Kansas,4,East,0.012511,0.0037,0.0213,0.012511,0.012511,0.012511,0.010915999999999999,1.0916,LOW_OWN,HIGH,NA,N,N,odds-proportional estimate,0.123744,0.036596,0.210675,0.123744,0.309361,0.091490,0.526687,0.309361,0.618721,0.182981,1.053374,0.618721,1.237443,0.365961,2.106749,1.237443,3.093607,0.914903,5.266872,3.093607,6.187215,1.829805,10.533745,6.187215,12.374430,3.659611,21.067489,12.374430,61.872150,18.298054,105.337446,61.872150
Vanderbilt,5,South,0.011845,0.0118,0.0118,0.011845,0.011845,0.011845,0.007896,0.7896,NEAR_ZERO,HIGH,NA,N,N,odds-proportional estimate,0.117515,0.117068,0.117068,0.117515,0.293787,0.292671,0.292671,0.293787,0.587574,0.585341,0.585341,0.587574,1.175147,1.170683,1.170683,1.175147,2.937868,2.926707,2.926707,2.937868,5.875736,5.853414,5.853414,5.875736,11.751472,11.706827,11.706827,11.751472,58.757359,58.534136,58.534136,58.757359
