contest_name,contest_year,date,track,race_number,horse_name,morning_line_odds,actual_odds_at_post,result,source
NHC Championship (27th),2026,2026-03-15,Santa Anita,5,Crazy Cavalier,,10-1 (approx from $22.80 payout),win,https://www.americasbestracing.net/gambling/2026-dylan-donnelly-wins-2026-national-horseplayers-championship-84-cents-thriller; https://www.drf.com/news/nhc-2026-donnelly-wins-event-final-race-84-cents
NHC Championship (27th) — pre-tournament public pick,2026,2026-03-07,Santa Anita,10,British Isles,6-1,7-1,win,https://www.sgvtribune.com/2026/03/12/horse-racing-needing-a-new-sport-to-play-handicapper-picks-a-winner/; https://www.bloodhorse.com/horse-racing/articles/290492/british-isles-rolls-in-depleted-santa-anita-handicap
BCBC (12th annual),2020,2020-11-06,,,,,,,"https://www.horseracingnation.com/news/Breeders_Cup_Betting_Challenge_champ_wins_492_750_123 — 3rd place finish; 136,200 points; no individual picks documented"
BCBC (12th annual),2020,2020-11-07,,,,,,,"https://www.horseracingnation.com/news/Breeders_Cup_Betting_Challenge_champ_wins_492_750_123 — 3rd place finish; 136,200 points; no individual picks documented"
NHC Championship (26th),2025,,,,,,,,"https://www.americasbestracing.net/gambling/2025-chicagos-dan-piazza-goes-wire-wire-win-2025-national-horseplayers-championship — 5th place; $298.86 bankroll; no individual picks documented"
NHC qualifying feeder — Monmouth Pick Your Prize,2023,2023-06-03,Monmouth Park,8,,,,win (daily double leg),"https://www.monmouthpark.com/news-notes/dylan-donnelly-takes-23-pick-your-prize-299-entries-establishes-new-contest-record/ — $400 winning DD starting R8; horse names not documented"
NHC qualifying feeder — Monmouth Pick Your Prize,2023,2023-06-03,Monmouth Park,11,,,,win (daily double leg),"https://www.monmouthpark.com/news-notes/dylan-donnelly-takes-23-pick-your-prize-299-entries-establishes-new-contest-record/ — $800 winning DD starting R11; horse names not documented"
NHC qualifying feeder — HorseTourneys Florida Derby Day cash tourney,2020,2020-03-28,,,,,,,"https://blog.horsetourneys.com/2020/03/30/ — 1st place; 7 winners out of 12 races; $20,524; includes Tiz the Law; individual horse names not fully documented"
NHC qualifying feeder — HorseTourneys NHC Qualifier,2020,2020-03-28,,,,,,,"https://blog.horsetourneys.com/2020/03/30/ — 1st place; NHC seat awarded; 8 winners; individual horse names not documented"
NHC qualifying feeder — HorseTourneys $10K Pick & Pray,2020,2020-03-29,,,,,,,"https://blog.horsetourneys.com/2020/03/30/ — 1st place; $10,017; 7 winners; individual horse names not documented"
NHC qualifying feeder — HorseTourneys $21K cash game,2020,2020-05-22,,,,,,,"https://blog.horsetourneys.com/2020/06/15/ — 1st place; 7 winners out of 10 races; individual horse names not documented"
NHC qualifying feeder — Xpressbet Belmont Stakes Challenge Qualifier,2020,2020-06-14,,,,,,,"https://blog.horsetourneys.com/2020/06/15/ — 1st place; 10 wins and 1 place out of 12 races; $3,000 NHC entry earned; individual horse names not documented"
NHC qualifying feeder — HorseTourneys Big Bucks Pick & Pray,2020,2020-06-14,,,,,,,"https://blog.horsetourneys.com/2020/06/15/ — 1st place; 5 winners 2 places; last race Irish Heatwave $6.80/$4.00"
NHC qualifying feeder — HorseTourneys Big Bucks Pick & Pray,2020,2020-06-14,,,Irish Heatwave,,,win,"https://blog.horsetourneys.com/2020/06/15/ — final race; paid $6.80 win, $4.00 place; margin of 20 cents"
NHC qualifying feeder — HorseTourneys $15K Pick & Pray,2020,2020-06-21,,,,,,,"https://blog.horsetourneys.com/2020/06/22/ — 1st place; $10,406; individual horse names not documented"
NHC qualifying feeder — HorseTourneys Exacta Extravaganza,2021,2021-09-12,Woodbine,11,Hallie's Hero,,9-1,win,"https://blog.horsetourneys.com/2021/09/13/ — 1st place; $20,250; exacta with Hallie's Hero and Abbaa"
NHC qualifying feeder — HorseTourneys Exacta Extravaganza,2021,2021-09-12,Woodbine,11,Abbaa,,9-1,win,"https://blog.horsetourneys.com/2021/09/13/ — exacta box paid $152.20"
NHC qualifying feeder — HorseTourneys Del Mar Summer Challenge Qualifier,2023,2023-07-04,Belmont,8,I'm Buzzy,,,win,"https://blog.horsetourneys.com/2023/07/05/ — part of 5 consecutive winners; paid $27.20 win, $9.10 place"
NHC qualifying feeder — Tampa Bay High Rollers,2026,2026-02-21,Tampa Bay Downs,,,,,,https://agameofskill.com/tampa-bay-handicapping-contest-won-by-veteran-horseplayer/ — 5th place; $2,245; no individual picks documented
