pool_size,upset_count,win_rate_corrected,win_rate_uncorrected,win_rate_prob_low,win_rate_prob_high,optimal_corrected_flag,optimal_uncorrected_flag
50,0,0.05075681,0.05659747,0.03296910,0.04894464,N,N
50,1,0.05092024,0.05685370,0.03308009,0.04958996,N,N
50,2,0.05181270,0.05748115,0.03391604,0.05023219,N,N
50,3,0.05189528,0.05765745,0.03388270,0.05068163,Y,N
50,4,0.05109138,0.05777275,0.03389412,0.04898268,N,N
50,5,0.05030027,0.05888489,0.03512434,0.05053830,N,Y
50,6,0.05086962,0.05813012,0.03494441,0.04728490,N,N
50,7,0.05005051,0.05750323,0.03406126,0.04691674,N,N
50,8,0.04961879,0.05566483,0.03422153,0.04628187,N,N
50,9,0.04667941,0.05524807,0.03168112,0.04526172,N,N
50,10,0.04571337,0.05049168,0.03328893,0.04208798,N,N
50,11,0.04637634,0.04959816,0.03345178,0.04059774,N,N
50,12,0.04516853,0.05025979,0.03142828,0.04122484,N,N
50,13,0.04423472,0.05198082,0.03521090,0.04135894,N,N
50,14,0.04593816,0.04816106,0.03295517,0.03981314,N,N
50,15,0.04288245,0.04465726,0.03411150,0.03586850,N,N
50,16,0.03873937,0.04316641,0.03159087,0.03300887,N,N
50,17,0.03420295,0.03959594,0.02932399,0.03299311,N,N
50,18,0.02891027,0.02786184,0.03637072,0.02835713,N,N
50,19,0.03163637,0.02915381,0.04112273,0.02934505,N,N
50,20,0.03065366,0.02786113,0.03303783,0.02829564,N,N
50,21,0.02195765,0.02227087,0.04311443,0.02836583,N,N
200,0,0.01839876,0.02345128,0.01020472,0.02112572,N,N
200,1,0.01864958,0.02348371,0.01021049,0.02085809,N,Y
200,2,0.01933704,0.02335837,0.01182092,0.02046249,N,N
200,3,0.01965463,0.02302020,0.01205724,0.02065250,Y,N
200,4,0.01876098,0.02132106,0.01031448,0.02009761,N,N
200,5,0.01827769,0.02237437,0.01092578,0.02100974,N,N
200,6,0.01928661,0.02250767,0.01144637,0.01822854,N,N
200,7,0.01833747,0.02114434,0.01286426,0.01864777,N,N
200,8,0.01920770,0.01983601,0.01166457,0.01684079,N,N
200,9,0.01652303,0.02304053,0.01002151,0.01769691,N,N
200,10,0.01813024,0.02043522,0.01173903,0.01447264,N,N
