team_name,team_seed,region,round,vegas_prob,public_pick_pct,leverage,leverage_ratio,round_weighted_leverage,high_signal_flag,zero_ownership_flag,sign_flip_flag,prop_norm_caution_flag
Duke,1,East,r1,0.9728,0.982,-0.0092,0.9906,-0.092,N,N,,N
Duke,1,East,r2,0.796728,0.885,-0.088272,0.9003,-1.7654,N,N,,N
Duke,1,East,r3,0.615299,0.642,-0.026701,0.9584,-1.068,N,N,,N
Duke,1,East,r4,0.482449,0.421,0.061449,1.146,4.9159,N,N,N,N
Duke,1,East,r5,0.294488,0.314,-0.019512,0.9379,-3.1219,N,N,,N
Duke,1,East,r6,0.165853,0.221,-0.055147,0.7505,-17.647,N,N,,N
Michigan,1,Midwest,r1,0.9761,0.978,-0.0019,0.9981,-0.019,N,N,,N
Michigan,1,Midwest,r2,0.810537,0.841,-0.030463,0.9638,-0.6093,N,N,,N
Michigan,1,Midwest,r3,0.637157,0.615,0.022157,1.036,0.8863,N,N,,N
Michigan,1,Midwest,r4,0.47943,0.382,0.09743,1.2551,7.7944,N,N,N,N
Michigan,1,Midwest,r5,0.303984,0.256,0.047984,1.1874,7.6774,N,N,,N
Michigan,1,Midwest,r6,0.169697,0.145,0.024697,1.1703,7.903,N,N,,N
Arizona,1,West,r1,0.9808,0.98,0.0008,1.0008,0.008,N,N,,N
Arizona,1,West,r2,0.776773,0.864,-0.087227,0.899,-1.7445,N,N,,N
Arizona,1,West,r3,0.536312,0.631,-0.094688,0.8499,-3.7875,N,N,,N
Arizona,1,West,r4,0.467759,0.395,0.072759,1.1842,5.8207,N,N,N,N
Arizona,1,West,r5,0.294365,0.273,0.021365,1.0783,3.4184,N,N,,N
Arizona,1,West,r6,0.17057,0.162,0.00857,1.0529,2.7424,N,N,,N
Florida,1,South,r1,0.9537,0.975,-0.0213,0.9782,-0.213,N,N,,N
Florida,1,South,r2,0.709012,0.827,-0.117988,0.8573,-2.3598,Y,N,,N
Florida,1,South,r3,0.46025,0.598,-0.13775,0.7696,-5.51,Y,N,,N
Florida,1,South,r4,0.320374,0.351,-0.030626,0.9127,-2.4501,N,N,Y,N
Florida,1,South,r5,0.181774,0.194,-0.012226,0.937,-1.9562,N,N,,N
Florida,1,South,r6,0.105528,0.118,-0.012472,0.8943,-3.991,N,N,,N
UConn,2,East,r1,0.9463,0.941,0.0053,1.0056,0.053,N,N,,N
UConn,2,East,r2,0.619739,0.724,-0.104261,0.856,-2.0852,Y,N,,N
UConn,2,East,r3,0.317286,0.482,-0.164714,0.6583,-6.5886,Y,N,,N
UConn,2,East,r4,0.120003,0.287,-0.166997,0.4181,-13.3598,Y,N,N,N
UConn,2,East,r5,0.050459,0.156,-0.105541,0.3235,-16.8866,Y,N,,N
UConn,2,East,r6,0.029371,0.085,-0.055629,0.3455,-17.8013,N,N,,N
Purdue,2,West,r1,0.9578,0.938,0.0198,1.0211,0.198,N,N,,N
Purdue,2,West,r2,0.670599,0.711,-0.040401,0.9432,-0.808,N,N,,N
Purdue,2,West,r3,0.356762,0.475,-0.118238,0.7511,-4.7295,Y,N,,N
Purdue,2,West,r4,0.186417,0.274,-0.087583,0.6804,-7.0066,N,N,Y,N
Purdue,2,West,r5,0.080959,0.148,-0.067041,0.547,-10.7266,N,N,,N
Purdue,2,West,r6,0.031526,0.079,-0.047474,0.3991,-15.1917,N,N,,N
Houston,2,South,r1,0.9578,0.945,0.0128,1.0135,0.128,N,N,,N
Houston,2,South,r2,0.638475,0.738,-0.099525,0.8651,-1.9905,N,N,,N
Houston,2,South,r3,0.356144,0.491,-0.134856,0.7253,-5.3942,Y,N,,N
Houston,2,South,r4,0.24253,0.293,-0.05047,0.8277,-4.0376,N,N,N,N
Houston,2,South,r5,0.142261,0.162,-0.019739,0.8782,-3.1582,N,N,,N
Houston,2,South,r6,0.069006,0.091,-0.021994,0.7583,-7.0381,N,N,,N
Iowa State,2,Midwest,r1,0.9578,0.926,0.0318,1.0343,0.318,N,N,,N
Iowa State,2,Midwest,r2,0.720477,0.689,0.031477,1.0457,0.6295,N,N,,N
Iowa State,2,Midwest,r3,0.454871,0.452,0.002871,1.0064,0.1148,N,N,,N
Iowa State,2,Midwest,r4,0.245907,0.251,-0.005093,0.9797,-0.4074,N,N,Y,N
Iowa State,2,Midwest,r5,0.091149,0.124,-0.032851,0.7351,-5.2562,N,N,,N
Iowa State,2,Midwest,r6,0.041946,0.062,-0.020054,0.6765,-6.4173,N,N,,N
Michigan St,3,East,r1,0.9124,0.884,0.0284,1.0321,0.284,N,N,,N
Michigan St,3,East,r2,0.534034,0.592,-0.057966,0.9021,-1.1593,N,N,,N
Michigan St,3,East,r3,0.285506,0.341,-0.055494,0.8373,-2.2198,N,N,,N
Michigan St,3,East,r4,0.104971,0.165,-0.060029,0.6362,-4.8023,N,N,N,N
Michigan St,3,East,r5,0.039293,0.082,-0.042707,0.4792,-6.8331,N,N,,N
Michigan St,3,East,r6,0.013656,0.034,-0.020344,0.4016,-6.5101,N,N,,N
Illinois,3,South,r1,0.9539,0.891,0.0629,1.0706,0.629,N,N,,N
Illinois,3,South,r2,0.693241,0.605,0.088241,1.1459,1.7648,N,N,,N
Illinois,3,South,r3,0.339915,0.354,-0.014085,0.9602,-0.5634,N,N,,N
Illinois,3,South,r4,0.207046,0.172,0.035046,1.2038,2.8037,N,N,N,N
Illinois,3,South,r5,0.090887,0.089,0.001887,1.0212,0.3019,N,N,,N
Illinois,3,South,r6,0.039034,0.037,0.002034,1.055,0.6509,N,N,,N
Virginia,3,Midwest,r1,0.9311,0.853,0.0781,1.0916,0.781,N,N,,N
Virginia,3,Midwest,r2,0.500371,0.541,-0.040629,0.9249,-0.8126,N,N,,N
Virginia,3,Midwest,r3,0.19629,0.308,-0.11171,0.6373,-4.4684,Y,N,,N
Virginia,3,Midwest,r4,0.070659,0.142,-0.071341,0.4976,-5.7073,N,N,N,N
Virginia,3,Midwest,r5,0.025035,0.065,-0.039965,0.3852,-6.3944,N,N,,N
Virginia,3,Midwest,r6,0.010526,0.028,-0.017474,0.3759,-5.5917,N,N,,N
Gonzaga,3,West,r1,0.9357,0.876,0.0597,1.0682,0.597,N,N,,N
Gonzaga,3,West,r2,0.604972,0.578,0.026972,1.0467,0.5394,N,N,,N
Gonzaga,3,West,r3,0.281284,0.335,-0.053716,0.8397,-2.1486,N,N,,N
Gonzaga,3,West,r4,0.142943,0.158,-0.015057,0.9047,-1.2046,N,N,N,N
Gonzaga,3,West,r5,0.042584,0.077,-0.034416,0.553,-5.5066,N,N,,N
Gonzaga,3,West,r6,0.013429,0.031,-0.017571,0.4332,-5.6227,N,N,,N
Kansas,4,East,r1,0.887,0.821,0.066,1.0804,0.66,N,N,,N
Kansas,4,East,r2,0.413098,0.485,-0.071902,0.8517,-1.438,N,N,,N
Kansas,4,East,r3,0.114185,0.254,-0.139815,0.4495,-5.5926,Y,N,,N
Kansas,4,East,r4,0.052486,0.112,-0.059514,0.4686,-4.7611,N,N,N,N
Kansas,4,East,r5,0.022827,0.051,-0.028173,0.4476,-4.5077,N,N,,N
Kansas,4,East,r6,0.012511,0.019,-0.006489,0.6585,-2.0765,N,N,,N
Alabama,4,Midwest,r1,0.8525,0.795,0.0575,1.0723,0.575,N,N,,N
Alabama,4,Midwest,r2,0.491275,0.452,0.039275,1.0869,0.7855,N,N,,N
Alabama,4,Midwest,r3,0.094644,0.228,-0.133356,0.4151,-5.3342,Y,N,,N
Alabama,4,Midwest,r4,0.036899,0.098,-0.061101,0.3765,-4.8881,N,N,N,N
Alabama,4,Midwest,r5,0.012711,0.044,-0.031289,0.2889,-5.0062,N,N,,N
Alabama,4,Midwest,r6,0.004386,0.016,-0.011614,0.2741,-3.7165,N,N,,N
Nebraska,4,South,r1,0.8721,0.782,0.0901,1.1152,0.901,N,N,,N
Nebraska,4,South,r2,0.443847,0.421,0.022847,1.0543,0.4569,N,N,,N
Nebraska,4,South,r3,0.149577,0.205,-0.055423,0.7296,-2.2169,N,N,,N
Nebraska,4,South,r4,0.070713,0.084,-0.013287,0.8418,-1.063,N,N,N,N
Nebraska,4,South,r5,0.019961,0.038,-0.018039,0.5253,-2.8862,N,N,,N
Nebraska,4,South,r6,0.007448,0.013,-0.005552,0.5729,-1.7766,N,N,,N
Arkansas,4,West,r1,0.8989,0.814,0.0849,1.1043,0.849,N,N,,N
Arkansas,4,West,r2,0.47669,0.473,0.00369,1.0078,0.0738,N,N,,N
Arkansas,4,West,r3,0.132963,0.241,-0.108037,0.5517,-4.3215,Y,N,,N
Arkansas,4,West,r4,0.071429,0.105,-0.033571,0.6803,-2.6857,N,N,N,N
Arkansas,4,West,r5,0.02615,0.048,-0.02185,0.5448,-3.496,N,N,,N
Arkansas,4,West,r6,0.013429,0.018,-0.004571,0.7461,-1.4627,N,N,,N
St John's,5,East,r1,0.825,0.745,0.08,1.1074,0.8,N,N,,N
St John's,5,East,r2,0.476122,0.382,0.094122,1.2464,1.8824,N,N,,N
St John's,5,East,r3,0.148964,0.184,-0.035036,0.8096,-1.4014,N,N,,N
St John's,5,East,r4,0.083977,0.075,0.008977,1.1197,0.7182,N,N,N,N
St John's,5,East,r5,0.03364,0.031,0.00264,1.0852,0.4224,N,N,,N
St John's,5,East,r6,0.01007,0.011,-0.00093,0.9155,-0.2976,N,N,,N
Texas Tech,5,Midwest,r1,0.7409,0.721,0.0199,1.0276,0.199,N,N,,N
Texas Tech,5,Midwest,r2,0.439311,0.354,0.085311,1.241,1.7062,N,N,,N
Texas Tech,5,Midwest,r3,0.115005,0.162,-0.046995,0.7099,-1.8798,N,N,,N
Texas Tech,5,Midwest,r4,0.047163,0.068,-0.020837,0.6936,-1.667,N,N,N,N
Texas Tech,5,Midwest,r5,0.021547,0.027,-0.005453,0.798,-0.8725,N,N,,N
Texas Tech,5,Midwest,r6,0.006061,0.009,-0.002939,0.6734,-0.9405,N,N,,N
Wisconsin,5,West,r1,0.8,0.718,0.082,1.1142,0.82,N,N,,N
Wisconsin,5,West,r2,0.397169,0.341,0.056169,1.1647,1.1234,N,N,,N
Wisconsin,5,West,r3,0.112484,0.155,-0.042516,0.7257,-1.7006,N,N,,N
Wisconsin,5,West,r4,0.053593,0.064,-0.010407,0.8374,-0.8326,N,N,N,N
Wisconsin,5,West,r5,0.022506,0.026,-0.003494,0.8656,-0.559,N,N,,N
Wisconsin,5,West,r6,0.008107,0.008,0.000107,1.0134,0.0342,N,N,,N
Vanderbilt,5,South,r1,0.84,0.705,0.135,1.1915,1.35,Y,N,,N
Vanderbilt,5,South,r2,0.453899,0.328,0.125899,1.3838,2.518,Y,N,,N
Vanderbilt,5,South,r3,0.166181,0.148,0.018181,1.1228,0.7272,N,N,,N
Vanderbilt,5,South,r4,0.070713,0.059,0.011713,1.1985,0.937,N,N,N,N
Vanderbilt,5,South,r5,0.026423,0.023,0.003423,1.1488,0.5477,N,N,,N
Vanderbilt,5,South,r6,0.011845,0.007,0.004845,1.6921,1.5504,N,N,,N
Louisville,6,East,r1,0.6636,0.66,0.0036,1.0055,0.036,N,N,,N
Louisville,6,East,r2,0.371825,0.284,0.087825,1.3092,1.7565,N,N,,N
Louisville,6,East,r3,0.186226,0.121,0.065226,1.5391,2.609,N,N,,N
Louisville,6,East,r4,0.05996,0.045,0.01496,1.3324,1.1968,N,N,N,N
Louisville,6,East,r5,0.022827,0.017,0.005827,1.3428,0.9323,N,N,,Y
Louisville,6,East,r6,0.005035,0.005,3.5e-05,1.007,0.0112,N,N,,Y
North Carolina,6,South,r1,0.5635,0.69,-0.1265,0.8167,-1.265,Y,N,,N
North Carolina,6,South,r2,0.247574,0.302,-0.054426,0.8198,-1.0885,N,N,,N
North Carolina,6,South,r3,0.106873,0.134,-0.027127,0.7976,-1.0851,N,N,,N
North Carolina,6,South,r4,0.013922,0.051,-0.037078,0.273,-2.9662,N,N,N,N
North Carolina,6,South,r5,0.004499,0.02,-0.015501,0.225,-2.4802,N,N,,Y
North Carolina,6,South,r6,0.002961,0.006,-0.003039,0.4935,-0.9725,N,N,,Y
Tennessee,6,Midwest,r1,0.7258,0.642,0.0838,1.1305,0.838,N,N,,N
Tennessee,6,Midwest,r2,0.391579,0.265,0.126579,1.4777,2.5316,Y,N,,N
Tennessee,6,Midwest,r3,0.160959,0.112,0.048959,1.4371,1.9584,N,N,,N
Tennessee,6,Midwest,r4,0.060565,0.041,0.019565,1.4772,1.5652,N,N,N,N
Tennessee,6,Midwest,r5,0.018912,0.015,0.003912,1.2608,0.6259,N,N,,Y
Tennessee,6,Midwest,r6,0.006061,0.004,0.002061,1.5152,0.6595,N,N,,Y
BYU,6,West,r1,0.5721,0.621,-0.0489,0.9213,-0.489,N,N,,N
BYU,6,West,r2,0.249661,0.248,0.001661,1.0067,0.0332,N,N,,N
BYU,6,West,r3,0.146274,0.105,0.041274,1.3931,1.651,N,N,,N
BYU,6,West,r4,0.014063,0.038,-0.023937,0.3701,-1.915,N,N,N,N
BYU,6,West,r5,0.006153,0.014,-0.007847,0.4395,-1.2555,N,N,,Y
BYU,6,West,r6,0.002293,0.003,-0.000707,0.7643,-0.2262,N,N,,Y
UCLA,7,East,r1,0.6854,0.68,0.0054,1.0079,0.054,N,N,,N
UCLA,7,East,r2,0.309823,0.235,0.074823,1.3184,1.4965,N,N,,N
UCLA,7,East,r3,0.131746,0.094,0.037746,1.4016,1.5098,N,N,,N
UCLA,7,East,r4,0.03653,0.032,0.00453,1.1416,0.3624,N,N,N,N
UCLA,7,East,r5,0.01265,0.011,0.00165,1.15,0.264,N,N,,Y
UCLA,7,East,r6,0.004196,0.002,0.002196,2.098,0.7027,N,N,,Y
Saint Mary's,7,South,r1,0.5934,0.59,0.0034,1.0058,0.034,N,N,,N
Saint Mary's,7,South,r2,0.247574,0.192,0.055574,1.2894,1.1115,N,N,,N
Saint Mary's,7,South,r3,0.162591,0.075,0.087591,2.1679,3.5036,N,N,,N
Saint Mary's,7,South,r4,0.023599,0.024,-0.000401,0.9833,-0.0321,N,N,N,N
Saint Mary's,7,South,r5,0.010798,0.008,0.002798,1.3498,0.4477,N,N,,Y
Saint Mary's,7,South,r6,0.002961,0.001,0.001961,2.961,0.6275,N,N,,Y
Kentucky,7,Midwest,r1,0.5934,0.69,-0.0966,0.86,-0.966,N,N,,N
Kentucky,7,Midwest,r2,0.2573,0.241,0.0163,1.0676,0.326,N,N,,N
Kentucky,7,Midwest,r3,0.123778,0.098,0.025778,1.263,1.0311,N,N,,N
Kentucky,7,Midwest,r4,0.018407,0.034,-0.015593,0.5414,-1.2474,N,N,N,N
