team_name,team_seed,region,vegas_r1,vegas_r2,vegas_r3,vegas_r4,vegas_r5,vegas_r6,vegas_r1_raw,vegas_r2_raw,vegas_r3_raw,vegas_r4_raw,vegas_r5_raw,vegas_r6_raw,public_r1,public_r2,public_r3,public_r4,public_r5,public_r6,near_zero_flag,first_four_flag,e8_game_implied,e8_game_corrected,vegas_r4_original,vegas_r4_adjusted,vegas_r4_adjusted_alt,path_dependent_flag
Duke,1,East,0.9728,0.796728,0.615299,0.482449,0.294488,0.165853,0.9728,0.8571,0.7183,0.5745,0.4167,0.2174,0.982,0.885,0.642,0.421,0.314,0.221,N,N,0.800809,0.725607,0.482449,0.446465,0.455922,N
Michigan,1,Midwest,0.9761,0.810537,0.637157,0.47943,0.303984,0.169697,0.9761,0.9,0.7917,0.5652,0.3922,0.2128,0.978,0.841,0.615,0.382,0.256,0.145,N,N,0.660976,0.620732,0.47943,0.395504,0.49613,Y
Arizona,1,West,0.9808,0.776773,0.536312,0.467759,0.294365,0.17057,0.9808,0.8889,0.7333,0.5455,0.3636,0.2083,0.98,0.864,0.631,0.395,0.273,0.162,N,N,0.715035,0.661277,0.467759,0.354651,0.375125,N
Florida,1,South,0.9537,0.709012,0.46025,0.320374,0.181774,0.105528,0.9537,0.8182,0.6154,0.3774,0.2222,0.1176,0.975,0.827,0.598,0.351,0.194,0.118,N,N,0.569145,0.551859,0.320374,0.253993,0.267211,N
UConn,2,East,0.9463,0.619739,0.317286,0.120003,0.050459,0.029371,0.9463,0.6667,0.3704,0.1429,0.0714,0.0385,0.941,0.724,0.482,0.287,0.156,0.085,N,N,0.199191,0.274393,0.120003,0.087061,0.179657,Y
Purdue,2,West,0.9578,0.670599,0.356762,0.186417,0.080959,0.031526,0.9578,0.7674,0.4878,0.2174,0.1,0.0385,0.938,0.711,0.475,0.274,0.148,0.079,N,N,0.284965,0.338723,0.186417,0.120844,0.238044,Y
Houston,2,South,0.9578,0.638475,0.356144,0.24253,0.142261,0.069006,0.9578,0.7368,0.4762,0.2857,0.1739,0.0769,0.945,0.738,0.491,0.293,0.162,0.091,N,N,0.430855,0.448141,0.24253,0.159603,0.251328,Y
Iowa State,2,Midwest,0.9578,0.720477,0.454871,0.245907,0.091149,0.041946,0.9578,0.8,0.5652,0.2899,0.1176,0.0526,0.926,0.689,0.452,0.251,0.124,0.062,N,N,0.339024,0.379268,0.245907,0.172518,0.343111,Y
Michigan St,3,East,0.9124,0.534034,0.285506,0.104971,0.039293,0.013656,0.9124,0.5745,0.3333,0.125,0.0556,0.0179,0.884,0.592,0.341,0.165,0.082,0.034,N,N,,,0.104971,0.104971,0.104971,N
Illinois,3,South,0.9539,0.693241,0.339915,0.207046,0.090887,0.039034,0.9539,0.8,0.4545,0.2439,0.1111,0.0435,0.891,0.605,0.354,0.172,0.089,0.037,N,N,,,0.207046,0.207046,0.207046,N
