team_name,team_seed,region,vegas_prob_game,r1,r2,r3,r4,r5,r6,validation_r1_flag,validation_r2_flag,validation_r3_flag,validation_r4_flag,validation_r5_flag,validation_r6_flag,consistency_flag,first_four_flag,near_zero_flag
Arizona,1,West,0.9808,0.9808,0.776773,0.536312,0.467759,0.294365,0.17057,pass,pass,pass,pass,pass,pass,pass,N,N
Michigan,1,Midwest,0.9761,0.9761,0.810537,0.637157,0.47943,0.303984,0.169697,pass,pass,pass,pass,pass,pass,pass,N,N
Duke,1,East,0.9728,0.9728,0.796728,0.615299,0.482449,0.294488,0.165853,pass,pass,pass,pass,pass,pass,pass,N,N
Florida,1,South,0.9537,0.9537,0.709012,0.46025,0.320374,0.181774,0.105528,pass,pass,pass,pass,pass,pass,pass,N,N
Houston,2,South,0.9578,0.9578,0.638475,0.356144,0.24253,0.142261,0.069006,pass,pass,pass,pass,pass,pass,pass,N,N
Iowa State,2,Midwest,0.9578,0.9578,0.720477,0.454871,0.245907,0.091149,0.041946,pass,pass,pass,pass,pass,pass,pass,N,N
Illinois,3,South,0.9539,0.9539,0.693241,0.339915,0.207046,0.090887,0.039034,pass,pass,pass,pass,pass,pass,pass,N,N
Purdue,2,West,0.9578,0.9578,0.670599,0.356762,0.186417,0.080959,0.031526,pass,pass,pass,pass,pass,pass,pass,N,N
UConn,2,East,0.9463,0.9463,0.619739,0.317286,0.120003,0.050459,0.029371,pass,pass,pass,pass,pass,pass,pass,N,N
Michigan St,3,East,0.9124,0.9124,0.534034,0.285506,0.104971,0.039293,0.013656,pass,pass,pass,pass,pass,pass,pass,N,N
Gonzaga,3,West,0.9357,0.9357,0.604972,0.281284,0.142943,0.042584,0.013429,pass,pass,pass,pass,pass,pass,pass,N,N
Arkansas,4,West,0.8989,0.8989,0.47669,0.132963,0.071429,0.02615,0.013429,pass,pass,pass,pass,pass,pass,pass,N,N
Kansas,4,East,0.887,0.887,0.413098,0.114185,0.052486,0.022827,0.012511,pass,pass,pass,pass,pass,pass,pass,N,N
Vanderbilt,5,South,0.84,0.84,0.453899,0.166181,0.070713,0.026423,0.011845,pass,pass,pass,pass,pass,pass,pass,N,N
Virginia,3,Midwest,0.9311,0.9311,0.500371,0.19629,0.070659,0.025035,0.010526,pass,pass,pass,pass,pass,pass,pass,N,N
St John's,5,East,0.825,0.825,0.476122,0.148964,0.083977,0.03364,0.01007,pass,pass,pass,pass,pass,pass,pass,N,N
Wisconsin,5,West,0.8,0.8,0.397169,0.112484,0.053593,0.022506,0.008107,pass,pass,pass,pass,pass,pass,pass,N,N
Nebraska,4,South,0.8721,0.8721,0.443847,0.149577,0.070713,0.019961,0.007448,pass,pass,pass,pass,pass,pass,pass,N,N
Texas Tech,5,Midwest,0.7409,0.7409,0.439311,0.115005,0.047163,0.021547,0.006061,pass,pass,pass,pass,pass,pass,pass,N,N
Tennessee,6,Midwest,0.7258,0.7258,0.391579,0.160959,0.060565,0.018912,0.006061,pass,pass,pass,pass,pass,pass,pass,N,N
Louisville,6,East,0.6636,0.6636,0.371825,0.186226,0.05996,0.022827,0.005035,pass,pass,pass,pass,pass,pass,pass,N,N
Alabama,4,Midwest,0.8525,0.8525,0.491275,0.094644,0.036899,0.012711,0.004386,pass,pass,pass,pass,pass,pass,pass,N,N
UCLA,7,East,0.6854,0.6854,0.309823,0.131746,0.03653,0.01265,0.004196,pass,pass,pass,pass,pass,pass,pass,N,N
Kentucky,7,Midwest,0.5934,0.5934,0.2573,0.123778,0.018407,0.008526,0.00319,pass,pass,pass,pass,pass,pass,pass,N,N
Ohio State,8,East,0.5635,0.5635,0.116195,0.071355,0.032331,0.01159,0.003052,pass,pass,pass,pass,pass,pass,pass,N,N
North Carolina,6,South,0.5635,0.5635,0.247574,0.106873,0.013922,0.004499,0.002961,pass,pass,pass,pass,pass,pass,pass,N,N
Saint Mary's,7,South,0.5934,0.5934,0.247574,0.162591,0.023599,0.010798,0.002961,pass,pass,pass,pass,pass,pass,pass,N,N
Iowa,9,South,0.5514,0.5514,0.157539,0.093486,0.018421,0.005808,0.002961,pass,pass,pass,pass,pass,pass,pass,N,N
BYU,6,West,0.5721,0.5721,0.249661,0.146274,0.014063,0.006153,0.002293,pass,pass,pass,pass,pass,pass,pass,N,N
Texas,11,West,0.4279,0.4279,0.124874,0.097491,0.012091,0.004048,0.002047,pass,pass,pass,pass,pass,pass,pass,N,N
South Florida,11,East,0.3364,0.3364,0.103274,0.040774,0.010329,0.003534,0.001907,pass,pass,pass,pass,pass,pass,pass,N,N
Clemson,8,South,0.4486,0.4486,0.144454,0.087952,0.012903,0.007363,0.001795,pass,pass,pass,pass,pass,pass,pass,N,N
Texas A&M,10,South,0.4066,0.4066,0.086655,0.018248,0.006027,0.002045,0.001795,pass,pass,pass,pass,pass,pass,pass,N,N
VCU,11,South,0.4365,0.4365,0.101906,0.024157,0.005603,0.0027,0.001795,pass,pass,pass,pass,pass,pass,pass,N,N
Miami,7,West,0.5427,0.5427,0.249661,0.146274,0.016807,0.00672,0.001638,pass,pass,pass,pass,pass,pass,pass,N,N
Villanova,8,West,0.4675,0.4675,0.145672,0.069626,0.011319,0.004453,0.001638,pass,pass,pass,pass,pass,pass,pass,N,N
Utah State,9,West,0.5325,0.5325,0.174772,0.066481,0.009432,0.004048,0.001638,pass,pass,pass,pass,pass,pass,pass,N,N
Missouri,10,West,0.4573,0.4573,0.072792,0.023623,0.006517,0.003238,0.001638,pass,pass,pass,pass,pass,pass,pass,N,N
Georgia,8,Midwest,0.5721,0.5721,0.150129,0.08048,0.012893,0.003875,0.001595,pass,pass,pass,pass,pass,pass,pass,N,N
Santa Clara,10,Midwest,0.4066,0.4066,0.069256,0.061889,0.011197,0.003875,0.001595,pass,pass,pass,pass,pass,pass,pass,N,N
M-OH/SMU,11,Midwest,0.2742,0.2742,0.019543,0.007967,0.004665,0.0031,0.001595,pass,pass,pass,pass,pass,pass,pass,Y,N
TCU,9,East,0.4365,0.4365,0.054658,0.023814,0.006382,0.001979,0.001526,pass,pass,pass,pass,pass,pass,pass,N,N
Saint Louis,9,Midwest,0.4279,0.4279,0.056287,0.025995,0.00492,0.002558,0.000957,pass,pass,pass,pass,pass,pass,pass,N,N
UCF,10,East,0.3146,0.3146,0.062002,0.016789,0.001847,0.001201,0.000915,pass,pass,pass,pass,pass,pass,pass,N,N
McNeese,12,South,0.16,0.16,0.041248,0.014659,0.002801,0.002045,0.000897,pass,pass,pass,pass,pass,pass,pass,N,N
Akron,12,Midwest,0.2591,0.2591,0.042868,0.015774,0.001696,0.001085,0.000797,pass,pass,pass,pass,pass,pass,pass,N,N
Penn,14,South,0.0461,0.0461,0.007799,0.003739,0.001188,0.000818,0.000628,pass,pass,pass,pass,pass,pass,pass,N,N
Troy,13,South,0.1279,0.1279,0.015511,0.011368,0.001698,0.000982,0.000449,pass,pass,pass,pass,pass,pass,pass,N,Y
Idaho,15,South,0.0422,0.0422,0.009532,0.003365,0.001443,0.000818,0.000449,pass,pass,pass,pass,pass,pass,pass,N,Y
PV/LEH,16,South,0.0463,0.0463,0.001733,0.001496,0.001019,0.000818,0.000449,pass,pass,pass,pass,pass,pass,pass,Y,Y
High Point,12,West,0.2,0.2,0.028226,0.011994,0.002144,0.001376,0.000409,pass,pass,pass,pass,pass,pass,pass,N,Y
Hawai'i,13,West,0.1011,0.1011,0.014331,0.008484,0.001715,0.000972,0.000409,pass,pass,pass,pass,pass,pass,pass,N,Y
Kennesaw St,14,West,0.0643,0.0643,0.007253,0.005193,0.001458,0.00081,0.000409,pass,pass,pass,pass,pass,pass,pass,N,Y
Queens,15,West,0.0422,0.0422,0.004369,0.003291,0.001458,0.00081,0.000409,pass,pass,pass,pass,pass,pass,pass,N,Y
Long Island,16,West,0.0192,0.0192,0.002185,0.001463,0.000857,0.00081,0.000409,pass,pass,pass,pass,pass,pass,pass,N,Y
Hofstra,13,Midwest,0.1475,0.1475,0.034673,0.014406,0.002121,0.001318,0.000399,pass,pass,pass,pass,pass,pass,pass,N,Y
Wright St,14,Midwest,0.0689,0.0689,0.008916,0.006116,0.001018,0.000775,0.000399,pass,pass,pass,pass,pass,pass,pass,N,Y
Tennessee St,15,Midwest,0.0422,0.0422,0.002972,0.002656,0.001018,0.000775,0.000399,pass,pass,pass,pass,pass,pass,pass,N,Y
Howard,16,Midwest,0.0239,0.0239,0.004503,0.002012,0.001442,0.000775,0.000399,pass,pass,pass,pass,pass,pass,pass,N,Y
Northern Iowa,12,East,0.175,0.175,0.071483,0.020901,0.003359,0.001979,0.000381,pass,pass,pass,pass,pass,pass,pass,N,Y
CA Baptist,13,East,0.113,0.113,0.040436,0.011307,0.00168,0.000707,0.000381,pass,pass,pass,pass,pass,pass,pass,N,Y
N Dakota St,14,East,0.0876,0.0876,0.018219,0.00848,0.00168,0.001413,0.000381,pass,pass,pass,pass,pass,pass,pass,N,Y
Furman,15,East,0.0537,0.0537,0.007715,0.004968,0.001008,0.000707,0.000381,pass,pass,pass,pass,pass,pass,pass,N,Y
Siena,16,East,0.0272,0.0272,0.004648,0.002398,0.001008,0.000707,0.000381,pass,pass,pass,pass,pass,pass,pass,N,Y
_METADATA,,,,source=ESPN_moneylines_single_book_DraftKings,devig=additive_method,propagation=futures_implied_then_normalized,COOPER=unavailable_paywalled,KenPom=unavailable_login_gated,blend=single_source_no_weighting,check2_deviations=0,consistency_violations=0,first_four_entries=2,near_zero_teams=17,total_teams=64,halt=NO,SINGLE_SOURCE_BASELINE,REVIEW_REQUIRED,SEE_SOURCE_AVAILABILITY_LOG
