team_name,team_seed,region,r1,r2,r3,r4_original,r4_adjusted,r5,r6,r1_low,r1_high,r2_low,r2_high,r3_low,r3_high,r4_low,r4_high,r5_low,r5_high,r6_low,r6_high,confidence_tier_r1,confidence_tier_r2,confidence_tier_r3,confidence_tier_r4,confidence_tier_r5,confidence_tier_r6,e8_correction_applied,first_four_flag,near_zero_flag,seed_line_deviation_flag,e8_game_prob_implied,e8_game_prob_corrected,r4_adjusted_alt,path_dependent_flag,source_metadata
Arizona,1,West,0.980800,0.776773,0.536312,0.467759,0.348884,0.294365,0.170570,0.972017,0.989583,0.748544,0.805002,0.499100,0.573500,0.309966,0.387803,0.259900,0.328900,0.141400,0.199700,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.715035,0.650525,0.367993,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Michigan,1,Midwest,0.976100,0.810537,0.637157,0.479430,0.390375,0.303984,0.169697,0.967317,0.984883,0.782308,0.838766,0.599900,0.674400,0.351457,0.429294,0.269500,0.338500,0.140500,0.198900,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.660976,0.612683,0.484293,Y,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Duke,1,East,0.972800,0.796728,0.615299,0.482449,0.437211,0.294488,0.165853,0.964017,0.981583,0.768499,0.824957,0.578100,0.652500,0.398292,0.476129,0.260000,0.329000,0.136700,0.195000,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.800809,0.710566,0.446037,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Florida,1,South,0.953700,0.709012,0.460250,0.320374,0.252402,0.181774,0.105528,0.944917,0.962483,0.680783,0.737241,0.423000,0.497500,0.213483,0.291320,0.147300,0.216300,0.076400,0.134700,HIGH,MEDIUM,LOW,LOW,HIGH,HIGH,Y,N,N,N,0.569145,0.548402,0.264738,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Houston,2,South,0.957800,0.638475,0.356144,0.242530,0.160834,0.142261,0.069006,0.937796,0.977804,0.600615,0.676335,0.316800,0.395500,0.129211,0.192457,0.120700,0.163900,0.055300,0.082800,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.430855,0.451598,0.246444,Y,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Iowa State,2,Midwest,0.957800,0.720477,0.454871,0.245907,0.176179,0.091149,0.041946,0.937796,0.977804,0.682617,0.758337,0.415500,0.494200,0.144557,0.207802,0.069500,0.112700,0.028200,0.055700,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.339024,0.387317,0.335399,Y,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Illinois,3,South,0.953900,0.693241,0.339915,0.207046,0.144394,0.090887,0.039034,0.926164,0.981636,0.653762,0.732720,0.305400,0.374400,0.120032,0.168756,0.070900,0.110900,0.026700,0.051400,MEDIUM,LOW,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.392564,0.424795,0.228352,Y,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Purdue,2,West,0.957800,0.670599,0.356762,0.186417,0.124679,0.080959,0.031526,0.937796,0.977804,0.632739,0.708459,0.317400,0.396100,0.093057,0.156302,0.059400,0.102600,0.017800,0.045300,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.284965,0.349475,0.234066,Y,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
UConn,2,East,0.946300,0.619739,0.317286,0.120003,0.091833,0.050459,0.029371,0.926296,0.966304,0.581879,0.657599,0.278000,0.356600,0.060210,0.123456,0.028900,0.072100,0.015600,0.043100,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.199191,0.289434,0.178256,Y,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Michigan St,3,East,0.912400,0.534034,0.285506,0.104971,0.078540,0.039293,0.013656,0.884664,0.940136,0.494555,0.573513,0.251000,0.320000,0.054178,0.102901,0.019300,0.059300,0.001300,0.026000,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.178698,0.275089,0.153856,Y,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Gonzaga,3,West,0.935700,0.604972,0.281284,0.142943,0.088279,0.042584,0.013429,0.907964,0.963436,0.565493,0.644451,0.246800,0.315800,0.063917,0.112641,0.022600,0.062600,0.001100,0.025800,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.234063,0.313844,0.173484,Y,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Arkansas,4,West,0.898900,0.476690,0.132963,0.071429,0.045728,0.026150,0.013429,0.866913,0.930887,0.437189,0.516191,0.104300,0.161700,0.022684,0.068772,0.013800,0.038500,0.004600,0.022200,MEDIUM,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.277022,0.343915,0.050957,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Kansas,4,East,0.887000,0.413098,0.114185,0.052486,0.041449,0.022827,0.012511,0.855013,0.918987,0.373597,0.452599,0.085500,0.142900,0.018406,0.064493,0.010500,0.035200,0.003700,0.021300,MEDIUM,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.304286,0.363000,0.043771,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Vanderbilt,5,South,0.840000,0.453899,0.166181,0.070713,0.051187,0.026423,0.011845,0.802140,0.877860,0.416350,0.491448,0.145400,0.187000,0.032972,0.069402,0.014100,0.038800,0.011800,0.011800,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,Y,N,N,Y,0.225745,0.308021,0.054542,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Virginia,3,Midwest,0.931100,0.500371,0.196290,0.070659,0.047093,0.025035,0.010526,0.903364,0.958836,0.460892,0.539850,0.161800,0.230800,0.022731,0.071455,0.005000,0.045000,0.000000,0.022900,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.128450,0.239915,0.111845,Y,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
St John's,5,East,0.825000,0.476122,0.148964,0.083977,0.065274,0.033640,0.010070,0.787140,0.862860,0.438573,0.513671,0.128100,0.169800,0.047059,0.083489,0.021300,0.046000,0.010100,0.010100,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,Y,N,N,Y,0.411692,0.438185,0.068689,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
