Team,Seed,Region,R32,S16,E8,F4,CHAMP,WINNER
Duke,1,East,98.2,88.5,64.2,42.1,31.4,22.1
Michigan,1,Midwest,97.8,84.1,61.5,38.2,25.6,14.5
Arizona,1,West,98.0,86.4,63.1,39.5,27.3,16.2
Florida,1,South,97.5,82.7,59.8,35.1,19.4,11.8
UConn,2,East,94.1,72.4,48.2,28.7,15.6,8.5
Purdue,2,West,93.8,71.1,47.5,27.4,14.8,7.9
Houston,2,South,94.5,73.8,49.1,29.3,16.2,9.1
Iowa State,2,Midwest,92.6,68.9,45.2,25.1,12.4,6.2
Michigan State,3,East,88.4,59.2,34.1,16.5,8.2,3.4
Illinois,3,South,89.1,60.5,35.4,17.2,8.9,3.7
Virginia,3,Midwest,85.3,54.1,30.8,14.2,6.5,2.8
Gonzaga,3,West,87.6,57.8,33.5,15.8,7.7,3.1
Kansas,4,East,82.1,48.5,25.4,11.2,5.1,1.9
Alabama,4,Midwest,79.5,45.2,22.8,9.8,4.4,1.6
Nebraska,4,South,78.2,42.1,20.5,8.4,3.8,1.3
Arkansas,4,West,81.4,47.3,24.1,10.5,4.8,1.8
St. John's,5,Midwest,74.5,38.2,18.4,7.5,3.1,1.1
Texas Tech,5,South,72.1,35.4,16.2,6.8,2.7,0.9
Wisconsin,5,East,71.8,34.1,15.5,6.4,2.6,0.8
Vanderbilt,5,West,70.5,32.8,14.8,5.9,2.3,0.7
Louisville,6,East,66.0,28.4,12.1,4.5,1.7,0.5
North Carolina,6,South,69.0,30.2,13.4,5.1,2.0,0.6
Tennessee,6,Midwest,64.2,26.5,11.2,4.1,1.5,0.4
BYU,6,West,62.1,24.8,10.5,3.8,1.4,0.3
UCLA,7,East,68.0,23.5,9.4,3.2,1.1,0.2
Saint Mary's,7,South,59.0,19.2,7.5,2.4,0.8,0.1
Kentucky,7,Midwest,69.0,24.1,9.8,3.4,1.2,0.3
Miami (FL),7,West,57.2,18.5,7.1,2.2,0.7,0.1
Ohio State,8,East,52.4,15.2,5.8,1.6,0.5,0.1
Georgia,8,Midwest,58.0,17.4,6.5,1.9,0.6,0.1
Clemson,8,South,51.5,14.8,5.5,1.5,0.4,0.1
Villanova,8,West,53.1,16.1,6.2,1.8,0.6,0.1
TCU,9,East,47.6,12.1,4.2,1.1,0.3,0.05
Saint Louis,9,Midwest,42.0,9.5,3.1,0.8,0.2,0.04
Iowa,9,South,48.5,12.8,4.5,1.2,0.3,0.05
Utah State,9,West,46.9,11.5,3.8,1.0,0.2,0.04
UCF,10,East,32.0,6.5,2.1,0.5,0.1,0.02
Texas A&M,10,South,41.0,8.2,2.8,0.7,0.2,0.03
Santa Clara,10,Midwest,31.0,5.8,1.8,0.4,0.1,0.02
Missouri,10,West,42.8,8.8,3.1,0.8,0.2,0.03
South Florida,11,East,34.0,5.2,1.5,0.4,0.1,0.02
VCU,11,South,31.0,4.8,1.4,0.3,0.1,0.02
SMU,11,Midwest,35.8,5.5,1.7,0.5,0.1,0.02
Texas,11,West,37.9,6.1,2.1,0.6,0.2,0.03
Northern Iowa,12,East,28.2,4.1,1.1,0.2,0.1,0.01
McNeese,12,South,29.5,4.3,1.2,0.3,0.1,0.01
Akron,12,Midwest,25.5,3.4,0.8,0.2,0.1,0.01
High Point,12,West,18.6,2.1,0.5,0.1,0.05,0.01
Cal Baptist,13,East,17.9,1.8,0.4,0.1,0.05,0.01
Troy,13,South,21.8,2.5,0.7,0.1,0.05,0.01
Hofstra,13,Midwest,20.5,2.3,0.6,0.1,0.05,0.01
Hawaii,13,West,19.5,2.2,0.5,0.1,0.05,0.01
North Dakota St,14,East,11.6,1.1,0.2,0.05,0.02,0.01
Penn,14,South,12.4,1.2,0.3,0.05,0.02,0.01
Wright State,14,Midwest,14.7,1.4,0.4,0.05,0.02,0.01
Kennesaw State,14,West,12.4,1.2,0.3,0.05,0.02,0.01
Furman,15,East,5.9,0.5,0.1,0.02,0.01,0.005
Idaho,15,South,5.5,0.4,0.1,0.02,0.01,0.005
Tennessee State,15,Midwest,7.4,0.7,0.1,0.02,0.01,0.005
Queens,15,West,6.2,0.6,0.1,0.02,0.01,0.005
Siena,16,East,1.8,0.1,0.02,0.01,0.005,0.001
Prairie View,16,South,2.5,0.2,0.03,0.01,0.005,0.001
Howard,16,Midwest,2.2,0.1,0.02,0.01,0.005,0.001
LIU,16,West,2.0,0.1,0.02,0.01,0.005,0.001
