team_name,team_seed,region,historical_seed_winrate_r1,vegas_r1_prob,r1_deviation_from_historical,high_uncertainty_flag_r1,historical_advancement_rate_r3,historical_stdev_r3,vegas_prob_r3,implied_uncertainty_low_r3,implied_uncertainty_high_r3,historical_advancement_rate_r4,historical_stdev_r4,vegas_prob_r4,implied_uncertainty_low_r4,implied_uncertainty_high_r4,historical_advancement_rate_r5,historical_stdev_r5,vegas_prob_r5,implied_uncertainty_low_r5,implied_uncertainty_high_r5,historical_advancement_rate_r6,historical_stdev_r6,vegas_prob_r6,implied_uncertainty_low_r6,implied_uncertainty_high_r6
Arizona,1,West,0.9875,0.9808,-0.0067,N,0.6687,0.0372,0.5363,0.4991,0.5735,0.4125,0.0389,0.4678,0.4288,0.5067,0.2562,0.0345,0.2944,0.2599,0.3289,0.1625,0.0292,0.1706,0.1414,0.1997
Michigan,1,Midwest,0.9875,0.9761,-0.0114,N,0.6687,0.0372,0.6372,0.5999,0.6744,0.4125,0.0389,0.4794,0.4405,0.5183,0.2562,0.0345,0.3040,0.2695,0.3385,0.1625,0.0292,0.1697,0.1405,0.1989
Duke,1,East,0.9875,0.9728,-0.0147,N,0.6687,0.0372,0.6153,0.5781,0.6525,0.4125,0.0389,0.4824,0.4435,0.5214,0.2562,0.0345,0.2945,0.2600,0.3290,0.1625,0.0292,0.1659,0.1367,0.1950
Florida,1,South,0.9875,0.9537,-0.0338,N,0.6687,0.0372,0.4602,0.4230,0.4975,0.4125,0.0389,0.3204,0.2815,0.3593,0.2562,0.0345,0.1818,0.1473,0.2163,0.1625,0.0292,0.1055,0.0764,0.1347
Houston,2,South,0.9313,0.9578,+0.0265,N,0.4500,0.0393,0.3561,0.3168,0.3955,0.2000,0.0316,0.2425,0.2109,0.2742,0.0813,0.0216,0.1423,0.1207,0.1639,0.0312,0.0138,0.0690,0.0553,0.0828
Iowa State,2,Midwest,0.9313,0.9578,+0.0265,N,0.4500,0.0393,0.4549,0.4155,0.4942,0.2000,0.0316,0.2459,0.2143,0.2775,0.0813,0.0216,0.0911,0.0695,0.1127,0.0312,0.0138,0.0419,0.0282,0.0557
Illinois,3,South,0.8562,0.9539,+0.0977,N,0.2562,0.0345,0.3399,0.3054,0.3744,0.1062,0.0244,0.2070,0.1827,0.2314,0.0688,0.0200,0.0909,0.0709,0.1109,0.0250,0.0123,0.0390,0.0267,0.0514
Purdue,2,West,0.9313,0.9578,+0.0265,N,0.4500,0.0393,0.3568,0.3174,0.3961,0.2000,0.0316,0.1864,0.1548,0.2180,0.0813,0.0216,0.0810,0.0594,0.1026,0.0312,0.0138,0.0315,0.0178,0.0453
UConn,2,East,0.9313,0.9463,+0.0151,N,0.4500,0.0393,0.3173,0.2780,0.3566,0.2000,0.0316,0.1200,0.0884,0.1516,0.0813,0.0216,0.0505,0.0289,0.0721,0.0312,0.0138,0.0294,0.0156,0.0431
Michigan St,3,East,0.8562,0.9124,+0.0562,N,0.2562,0.0345,0.2855,0.2510,0.3200,0.1062,0.0244,0.1050,0.0806,0.1293,0.0688,0.0200,0.0393,0.0193,0.0593,0.0250,0.0123,0.0137,0.0013,0.0260
