team_name,team_seed,region,vegas_prob_game,r1,r2,r3,r4,r5,r6
Duke,1,East,0.9728,0.9728,0.8571,0.7183,0.5745,0.4167,0.2174
Michigan,1,Midwest,0.9761,0.9761,0.9,0.7917,0.5652,0.3922,0.2128
Arizona,1,West,0.9808,0.9808,0.8889,0.7333,0.5455,0.3636,0.2083
Florida,1,South,0.9537,0.9537,0.8182,0.6154,0.3774,0.2222,0.1176
Houston,2,South,0.9578,0.9578,0.7368,0.4762,0.2857,0.1739,0.0769
Iowa State,2,Midwest,0.9578,0.9578,0.8,0.5652,0.2899,0.1176,0.0526
Illinois,3,South,0.9539,0.9539,0.8,0.4545,0.2439,0.1111,0.0435
Purdue,2,West,0.9578,0.9578,0.7674,0.4878,0.2174,0.1,0.0385
UConn,2,East,0.9463,0.9463,0.6667,0.3704,0.1429,0.0714,0.0385
Michigan St,3,East,0.9124,0.9124,0.5745,0.3333,0.125,0.0556,0.0179
Gonzaga,3,West,0.9357,0.9357,0.6923,0.3846,0.1667,0.0526,0.0164
Arkansas,4,West,0.8989,0.8989,0.5455,0.1818,0.0833,0.0323,0.0164
Kansas,4,East,0.887,0.887,0.4444,0.1333,0.0625,0.0323,0.0164
Virginia,3,Midwest,0.9311,0.9311,0.5556,0.2439,0.0833,0.0323,0.0132
St John's,5,East,0.825,0.825,0.5122,0.1739,0.1,0.0476,0.0132
Vanderbilt,5,South,0.84,0.84,0.5238,0.2222,0.0833,0.0323,0.0132
Wisconsin,5,West,0.8,0.8,0.4545,0.1538,0.0625,0.0278,0.0099
Nebraska,4,South,0.8721,0.8721,0.5122,0.2,0.0833,0.0244,0.0083
Texas Tech,5,Midwest,0.7409,0.7409,0.4878,0.1429,0.0556,0.0278,0.0076
Tennessee,6,Midwest,0.7258,0.7258,0.4348,0.2,0.0714,0.0244,0.0076
Louisville,6,East,0.6636,0.6636,0.4,0.2174,0.0714,0.0323,0.0066
Alabama,4,Midwest,0.8525,0.8525,0.5455,0.1176,0.0435,0.0164,0.0055
UCLA,7,East,0.6854,0.6854,0.3333,0.1538,0.0435,0.0179,0.0055
Kentucky,7,Midwest,0.5934,0.5934,0.2857,0.1538,0.0217,0.011,0.004
Ohio State,8,East,0.5635,0.5635,0.125,0.0833,0.0385,0.0164,0.004
North Carolina,6,South,0.5635,0.5635,0.2857,0.1429,0.0164,0.0055,0.0033
Saint Mary's,7,South,0.5934,0.5934,0.2857,0.2174,0.0278,0.0132,0.0033
Iowa,9,South,0.5514,0.5514,0.1818,0.125,0.0217,0.0071,0.0033
BYU,6,West,0.5721,0.5721,0.2857,0.2,0.0164,0.0076,0.0028
South Florida,11,East,0.3364,0.3364,0.1111,0.0476,0.0123,0.005,0.0025
Texas,11,West,0.4279,0.4279,0.1429,0.1333,0.0141,0.005,0.0025
Miami,7,West,0.5427,0.5427,0.2857,0.2,0.0196,0.0083,0.002
Clemson,8,South,0.4486,0.4486,0.1667,0.1176,0.0152,0.009,0.002
Villanova,8,West,0.4675,0.4675,0.1667,0.0952,0.0132,0.0055,0.002
Georgia,8,Midwest,0.5721,0.5721,0.1667,0.1,0.0152,0.005,0.002
TCU,9,East,0.4365,0.4365,0.0588,0.0278,0.0076,0.0028,0.002
Utah State,9,West,0.5325,0.5325,0.2,0.0909,0.011,0.005,0.002
Texas A&M,10,South,0.4066,0.4066,0.1,0.0244,0.0071,0.0025,0.002
Missouri,10,West,0.4573,0.4573,0.0833,0.0323,0.0076,0.004,0.002
Santa Clara,10,Midwest,0.4066,0.4066,0.0769,0.0769,0.0132,0.005,0.002
VCU,11,South,0.4365,0.4365,0.1176,0.0323,0.0066,0.0033,0.002
M-OH/SMU,11,Midwest,0.2742,0.2742,0.0217,0.0099,0.0055,0.004,0.002
Saint Louis,9,Midwest,0.4279,0.4279,0.0625,0.0323,0.0058,0.0033,0.0012
UCF,10,East,0.3146,0.3146,0.0667,0.0196,0.0022,0.0017,0.0012
McNeese,12,South,0.16,0.16,0.0476,0.0196,0.0033,0.0025,0.001
